20725.0_3.0,35.0
19492.0_3.0,17.0
19264.0_1.0,40.0
33181.0_4.0,35.0
6636.0_2.0,46.0
6969.0_4.0,23.0
20993.0_1.0,57.0
17685.0_1.0,36.0
21975.0_2.0,52.0
30828.0_1.0,28.0
18611.0_1.0,42.0
7846.0_2.0,80.0
9041.0_2.0,75.0
19070.0_1.0,32.0
16435.0_2.0,87.0
8810.0_1.0,50.0
17647.0_2.0,92.0
32023.0_1.0,65.0
19139.0_1.0,65.0
22257.0_1.0,36.0
13136.0_1.0,45.0
14348.0_1.0,43.0
18790.0_2.0,72.0
19597.0_2.0,52.0
2776.0_2.0,23.0
11644.0_2.0,38.0
22622.0_2.0,59.0
3740.0_1.0,49.0
12856.0_2.0,40.0
1106.0_1.0,66.0
2318.0_1.0,35.0
21410.0_2.0,55.0
28191.0_1.0,25.0
32778.0_1.0,78.0
16714.0_2.0,65.0
28904.0_1.0,54.0
17926.0_2.0,68.0
23360.0_2.0,63.0
25784.0_2.0,55.0
20993.0_2.0,72.0
23552.0_6.0,33.0
33288.0_2.0,60.0
31971.0_1.0,31.0
15491.0_1.0,62.0
29642.0_2.0,80.0
6406.0_4.0,25.0
23887.0_3.0,36.0
25044.0_4.0,16.0
18801.0_4.0,52.0
6634.0_3.0,30.0
23429.0_2.0,35.0
1564.0_3.0,10.0
17175.0_3.0,17.0
19418.0_1.0,85.0
21830.0_4.0,14.0
30126.0_2.0,63.0
22901.0_2.0,64.0
4402.0_7.0,28.0
10959.0_4.0,26.0
23708.0_2.0,44.0
5183.0_2.0,34.0
32076.0_3.0,70.0
27048.0_1.0,29.0
26900.0_4.0,14.0
31338.0_2.0,63.0
14768.0_3.0,20.0
21235.0_5.0,16.0
14489.0_3.0,23.0
11606.0_3.0,45.0
9148.0_1.0,30.0
14241.0_2.0,34.0
26305.0_5.0,0.0
31231.0_3.0,30.0
30721.0_2.0,51.0
20955.0_2.0,65.0
33655.0_3.0,25.0
8951.0_3.0,19.0
22219.0_2.0,50.0
4078.0_1.0,38.0
33932.0_3.0,26.0
19599.0_2.0,65.0
34393.0_3.0,8.0
35375.0_4.0,4.0
22255.0_1.0,58.0
24679.0_1.0,50.0
23590.0_1.0,70.0
24992.0_4.0,25.0
16473.0_2.0,90.0
5181.0_2.0,41.0
15223.0_3.0,16.0
16665.0_1.0,30.0
16893.0_4.0,23.0
18908.0_3.0,12.0
25189.0_2.0,71.0
1108.0_1.0,55.0
12997.0_5.0,32.0
209.0_2.0,43.0
7569.0_2.0,40.0
24306.0_4.0,13.0
26996.0_1.0,38.0
29365.0_2.0,60.0
8531.0_1.0,66.0
23132.0_3.0,16.0
5529.0_2.0,40.0
32405.0_4.0,16.0
2074.0_4.0,12.0
7848.0_2.0,53.0
21517.0_1.0,51.0
22150.0_2.0,61.0
4498.0_4.0,21.0
10852.0_5.0,19.0
3461.0_1.0,30.0
11595.0_1.0,53.0
25746.0_2.0,38.0
28202.0_3.0,42.0
10202.0_4.0,9.0
6404.0_4.0,20.0
24621.0_3.0,23.0
560.0_5.0,3.0
27783.0_3.0,50.0
13364.0_4.0,5.0
25274.0_3.0,50.0
32827.0_2.0,46.0
11414.0_4.0,2.0
3843.0_4.0,22.0
33970.0_2.0,40.0
16906.0_2.0,18.0
18280.0_4.0,16.0
7042.0_1.0,29.0
9233.0_2.0,36.0
14715.0_1.0,31.0
34829.0_3.0,12.0
11836.0_2.0,45.0
20763.0_3.0,18.0
4163.0_2.0,40.0
28537.0_1.0,58.0
5460.0_2.0,25.0
28309.0_2.0,40.0
6672.0_2.0,62.0
30039.0_2.0,75.0
4914.0_1.0,71.0
26028.0_1.0,76.0
2405.0_1.0,38.0
14156.0_1.0,52.0
29680.0_1.0,70.0
3617.0_1.0,54.0
15368.0_1.0,72.0
7797.0_1.0,55.0
7321.0_1.0,20.0
25592.0_2.0,56.0
30077.0_1.0,35.0
31289.0_1.0,56.0
19226.0_1.0,55.0
35147.0_1.0,45.0
283.0_1.0,45.0
34340.0_1.0,41.0
30356.0_1.0,36.0
31568.0_1.0,56.0
18982.0_2.0,70.0
